,Country,Species,Year,inland_Unit,inland_TON_Value,inland_TON_Flags,COUNTRY_YEAR_SPECIES
165,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2019,Tonnes,75.0,Estimated value,BEL_2019_11
166,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2020,Tonnes,75.0,Estimated value,BEL_2020_11
167,Belgium,"CARPS, BARBELS AND OTHER CYPRINIDS",2021,Tonnes,75.0,Estimated value,BEL_2021_11
168,Belgium,Common carp [Cyprinus carpio],2010,Tonnes,30.0,,BEL_2010_FCP
169,Belgium,Common carp [Cyprinus carpio],2011,Tonnes,10.0,,BEL_2011_FCP
170,Belgium,Common carp [Cyprinus carpio],2012,Tonnes,10.0,,BEL_2012_FCP
171,Belgium,Common carp [Cyprinus carpio],2013,Tonnes,10.0,Estimated value,BEL_2013_FCP
172,Belgium,Common carp [Cyprinus carpio],2014,Tonnes,10.0,Estimated value,BEL_2014_FCP
173,Belgium,Common carp [Cyprinus carpio],2015,Tonnes,10.0,Estimated value,BEL_2015_FCP
174,Belgium,Common carp [Cyprinus carpio],2016,Tonnes,10.0,Estimated value,BEL_2016_FCP
175,Belgium,Common carp [Cyprinus carpio],2017,Tonnes,10.0,Estimated value,BEL_2017_FCP
176,Belgium,Common carp [Cyprinus carpio],2018,Tonnes,10.0,Estimated value,BEL_2018_FCP
177,Belgium,Common carp [Cyprinus carpio],2019,Tonnes,10.0,Estimated value,BEL_2019_FCP
178,Belgium,Common carp [Cyprinus carpio],2020,Tonnes,10.0,Estimated value,BEL_2020_FCP
179,Belgium,Common carp [Cyprinus carpio],2021,Tonnes,10.0,Estimated value,BEL_2021_FCP
180,Belgium,Crucian carp [Carassius carassius],2010,Tonnes,0.0,,BEL_2010_FCC
181,Belgium,Crucian carp [Carassius carassius],2011,Tonnes,1.0,,BEL_2011_FCC
182,Belgium,Crucian carp [Carassius carassius],2012,Tonnes,1.0,,BEL_2012_FCC
183,Belgium,Crucian carp [Carassius carassius],2013,Tonnes,1.0,Estimated value,BEL_2013_FCC
184,Belgium,Crucian carp [Carassius carassius],2014,Tonnes,1.0,Estimated value,BEL_2014_FCC
185,Belgium,Crucian carp [Carassius carassius],2015,Tonnes,1.0,Estimated value,BEL_2015_FCC
186,Belgium,Crucian carp [Carassius carassius],2016,Tonnes,1.0,Estimated value,BEL_2016_FCC
187,Belgium,Crucian carp [Carassius carassius],2017,Tonnes,1.0,Estimated value,BEL_2017_FCC
188,Belgium,Crucian carp [Carassius carassius],2018,Tonnes,1.0,Estimated value,BEL_2018_FCC
189,Belgium,Crucian carp [Carassius carassius],2019,Tonnes,1.0,Estimated value,BEL_2019_FCC
190,Belgium,Crucian carp [Carassius carassius],2020,Tonnes,1.0,Estimated value,BEL_2020_FCC
191,Belgium,Crucian carp [Carassius carassius],2021,Tonnes,1.0,Estimated value,BEL_2021_FCC
192,Belgium,Cyprinids nei [Cyprinidae],2010,Tonnes,50.0,,BEL_2010_FCY
193,Belgium,Cyprinids nei [Cyprinidae],2011,Tonnes,10.0,,BEL_2011_FCY
194,Belgium,Cyprinids nei [Cyprinidae],2012,Tonnes,10.0,,BEL_2012_FCY
195,Belgium,Cyprinids nei [Cyprinidae],2013,Tonnes,10.0,Estimated value,BEL_2013_FCY
196,Belgium,Cyprinids nei [Cyprinidae],2014,Tonnes,10.0,Estimated value,BEL_2014_FCY
197,Belgium,Cyprinids nei [Cyprinidae],2015,Tonnes,10.0,Estimated value,BEL_2015_FCY
198,Belgium,Cyprinids nei [Cyprinidae],2016,Tonnes,10.0,Estimated value,BEL_2016_FCY
199,Belgium,Cyprinids nei [Cyprinidae],2017,Tonnes,10.0,Estimated value,BEL_2017_FCY
200,Belgium,Cyprinids nei [Cyprinidae],2018,Tonnes,10.0,Estimated value,BEL_2018_FCY
201,Belgium,Cyprinids nei [Cyprinidae],2019,Tonnes,10.0,Estimated value,BEL_2019_FCY
202,Belgium,Cyprinids nei [Cyprinidae],2020,Tonnes,10.0,Estimated value,BEL_2020_FCY
203,Belgium,Cyprinids nei [Cyprinidae],2021,Tonnes,10.0,Estimated value,BEL_2021_FCY
204,Belgium,Freshwater bream [Abramis brama],2010,Tonnes,60.0,,BEL_2010_FBM
205,Belgium,Freshwater bream [Abramis brama],2011,Tonnes,15.0,,BEL_2011_FBM
206,Belgium,Freshwater bream [Abramis brama],2012,Tonnes,15.0,,BEL_2012_FBM
207,Belgium,Freshwater bream [Abramis brama],2013,Tonnes,15.0,Estimated value,BEL_2013_FBM
208,Belgium,Freshwater bream [Abramis brama],2014,Tonnes,15.0,Estimated value,BEL_2014_FBM
209,Belgium,Freshwater bream [Abramis brama],2015,Tonnes,15.0,Estimated value,BEL_2015_FBM
210,Belgium,Freshwater bream [Abramis brama],2016,Tonnes,15.0,Estimated value,BEL_2016_FBM
211,Belgium,Freshwater bream [Abramis brama],2017,Tonnes,15.0,Estimated value,BEL_2017_FBM
212,Belgium,Freshwater bream [Abramis brama],2018,Tonnes,15.0,Estimated value,BEL_2018_FBM
213,Belgium,Freshwater bream [Abramis brama],2019,Tonnes,15.0,Estimated value,BEL_2019_FBM
214,Belgium,Freshwater bream [Abramis brama],2020,Tonnes,15.0,Estimated value,BEL_2020_FBM
215,Belgium,Freshwater bream [Abramis brama],2021,Tonnes,15.0,Estimated value,BEL_2021_FBM
216,Belgium,Orfe(=Ide) [Leuciscus idus],2010,Tonnes,0.0,,BEL_2010_FID
217,Belgium,Orfe(=Ide) [Leuciscus idus],2011,Tonnes,3.0,,BEL_2011_FID
218,Belgium,Orfe(=Ide) [Leuciscus idus],2012,Tonnes,3.0,,BEL_2012_FID
219,Belgium,Orfe(=Ide) [Leuciscus idus],2013,Tonnes,3.0,Estimated value,BEL_2013_FID
220,Belgium,Orfe(=Ide) [Leuciscus idus],2014,Tonnes,3.0,Estimated value,BEL_2014_FID
221,Belgium,Orfe(=Ide) [Leuciscus idus],2015,Tonnes,3.0,Estimated value,BEL_2015_FID
222,Belgium,Orfe(=Ide) [Leuciscus idus],2016,Tonnes,3.0,Estimated value,BEL_2016_FID
223,Belgium,Orfe(=Ide) [Leuciscus idus],2017,Tonnes,3.0,Estimated value,BEL_2017_FID
224,Belgium,Orfe(=Ide) [Leuciscus idus],2018,Tonnes,3.0,Estimated value,BEL_2018_FID
225,Belgium,Orfe(=Ide) [Leuciscus idus],2019,Tonnes,3.0,Estimated value,BEL_2019_FID
226,Belgium,Orfe(=Ide) [Leuciscus idus],2020,Tonnes,3.0,Estimated value,BEL_2020_FID
227,Belgium,Orfe(=Ide) [Leuciscus idus],2021,Tonnes,3.0,Estimated value,BEL_2021_FID
228,Belgium,Roach [Rutilus rutilus],2010,Tonnes,160.0,,BEL_2010_FRO
229,Belgium,Roach [Rutilus rutilus],2011,Tonnes,24.0,,BEL_2011_FRO
230,Belgium,Roach [Rutilus rutilus],2012,Tonnes,24.0,,BEL_2012_FRO
231,Belgium,Roach [Rutilus rutilus],2013,Tonnes,24.0,Estimated value,BEL_2013_FRO
232,Belgium,Roach [Rutilus rutilus],2014,Tonnes,24.0,Estimated value,BEL_2014_FRO
233,Belgium,Roach [Rutilus rutilus],2015,Tonnes,24.0,Estimated value,BEL_2015_FRO
234,Belgium,Roach [Rutilus rutilus],2016,Tonnes,24.0,Estimated value,BEL_2016_FRO
235,Belgium,Roach [Rutilus rutilus],2017,Tonnes,24.0,Estimated value,BEL_2017_FRO
236,Belgium,Roach [Rutilus rutilus],2018,Tonnes,24.0,Estimated value,BEL_2018_FRO
237,Belgium,Roach [Rutilus rutilus],2019,Tonnes,24.0,Estimated value,BEL_2019_FRO
238,Belgium,Roach [Rutilus rutilus],2020,Tonnes,24.0,Estimated value,BEL_2020_FRO
239,Belgium,Roach [Rutilus rutilus],2021,Tonnes,24.0,Estimated value,BEL_2021_FRO
240,Belgium,Rudd [Scardinius erythrophthalmus],2010,Tonnes,0.0,,BEL_2010_SRE
241,Belgium,Rudd [Scardinius erythrophthalmus],2011,Tonnes,9.0,,BEL_2011_SRE
242,Belgium,Rudd [Scardinius erythrophthalmus],2012,Tonnes,9.0,,BEL_2012_SRE
243,Belgium,Rudd [Scardinius erythrophthalmus],2013,Tonnes,9.0,Estimated value,BEL_2013_SRE
