,Country,Species,Year,aq_TON,aq_TON_Value,aq_TON_Flags,COUNTRY_YEAR_SPECIES,aq_USD,aq_USD_Value,aq_USD_Flags
146,Australia,Southern bluefin tuna [Thunnus maccoyii],2012,Tonnes,7087.0,,AUS_2012_SBF,US Dollar,155315057.0,
147,Australia,Southern bluefin tuna [Thunnus maccoyii],2013,Tonnes,7486.0,,AUS_2013_SBF,US Dollar,148188882.0,
148,Australia,Southern bluefin tuna [Thunnus maccoyii],2014,Tonnes,7544.0,,AUS_2014_SBF,US Dollar,110300819.0,
149,Australia,Southern bluefin tuna [Thunnus maccoyii],2015,Tonnes,8418.0,,AUS_2015_SBF,US Dollar,98150639.0,
150,Australia,Southern bluefin tuna [Thunnus maccoyii],2016,Tonnes,8895.0,,AUS_2016_SBF,US Dollar,94291839.0,
151,Australia,Southern bluefin tuna [Thunnus maccoyii],2017,Tonnes,8100.0,,AUS_2017_SBF,US Dollar,88092193.0,
152,Australia,Southern bluefin tuna [Thunnus maccoyii],2018,Tonnes,8000.0,,AUS_2018_SBF,US Dollar,94141405.0,
153,Australia,Southern bluefin tuna [Thunnus maccoyii],2019,Tonnes,8252.0,,AUS_2019_SBF,US Dollar,89661573.0,
154,Australia,Southern bluefin tuna [Thunnus maccoyii],2020,Tonnes,8345.0,,AUS_2020_SBF,US Dollar,94299293.0,
155,Australia,Southern bluefin tuna [Thunnus maccoyii],2021,Tonnes,7600.0,,AUS_2021_SBF,US Dollar,68358219.0,
156,Australia,MARINE FISHES NOT IDENTIFIED,2012,Tonnes,1537.94,,AUS_2012_39,US Dollar,17096969.0,
157,Australia,MARINE FISHES NOT IDENTIFIED,2013,Tonnes,889.71,,AUS_2013_39,US Dollar,10889617.0,
158,Australia,MARINE FISHES NOT IDENTIFIED,2014,Tonnes,579.0,,AUS_2014_39,US Dollar,7218167.0,
159,Australia,MARINE FISHES NOT IDENTIFIED,2015,Tonnes,1098.0,,AUS_2015_39,US Dollar,13651892.0,
160,Australia,MARINE FISHES NOT IDENTIFIED,2016,Tonnes,2018.0,,AUS_2016_39,US Dollar,22291978.0,
161,Australia,MARINE FISHES NOT IDENTIFIED,2017,Tonnes,2294.0,,AUS_2017_39,US Dollar,20746528.0,
162,Australia,MARINE FISHES NOT IDENTIFIED,2018,Tonnes,2487.0,,AUS_2018_39,US Dollar,22316646.0,
163,Australia,MARINE FISHES NOT IDENTIFIED,2019,Tonnes,2951.0,,AUS_2019_39,US Dollar,27427661.0,
164,Australia,MARINE FISHES NOT IDENTIFIED,2020,Tonnes,3067.991,,AUS_2020_39,US Dollar,27257704.0,
165,Australia,MARINE FISHES NOT IDENTIFIED,2021,Tonnes,2824.91,,AUS_2021_39,US Dollar,27395525.0,
166,Australia,Finfishes nei [Actinopterygii],2012,Tonnes,33.84,,AUS_2012_FIN,US Dollar,405183.0,
167,Australia,Finfishes nei [Actinopterygii],2013,Tonnes,0.71,,AUS_2013_FIN,US Dollar,19173.0,
168,Australia,Marine fishes nei [Actinopterygii],2012,Tonnes,1504.1,,AUS_2012_MZZ,US Dollar,16691786.0,
169,Australia,Marine fishes nei [Actinopterygii],2013,Tonnes,889.0,,AUS_2013_MZZ,US Dollar,10870444.0,
170,Australia,Marine fishes nei [Actinopterygii],2014,Tonnes,579.0,,AUS_2014_MZZ,US Dollar,7218167.0,
171,Australia,Marine fishes nei [Actinopterygii],2015,Tonnes,1098.0,,AUS_2015_MZZ,US Dollar,13651892.0,
172,Australia,Marine fishes nei [Actinopterygii],2016,Tonnes,2018.0,,AUS_2016_MZZ,US Dollar,22291978.0,
173,Australia,Marine fishes nei [Actinopterygii],2017,Tonnes,2294.0,,AUS_2017_MZZ,US Dollar,20746528.0,
174,Australia,Marine fishes nei [Actinopterygii],2018,Tonnes,2487.0,,AUS_2018_MZZ,US Dollar,22316646.0,
175,Australia,Marine fishes nei [Actinopterygii],2019,Tonnes,2951.0,,AUS_2019_MZZ,US Dollar,27427661.0,
176,Australia,Marine fishes nei [Actinopterygii],2020,Tonnes,3067.991,,AUS_2020_MZZ,US Dollar,27257704.0,
177,Australia,Marine fishes nei [Actinopterygii],2021,Tonnes,2824.91,,AUS_2021_MZZ,US Dollar,27395525.0,
178,Australia,CRUSTACEANS,2012,Tonnes,4165.45,,AUS_2012_4,US Dollar,65976875.0,
179,Australia,CRUSTACEANS,2013,Tonnes,3882.59,,AUS_2013_4,US Dollar,61221585.0,
180,Australia,CRUSTACEANS,2014,Tonnes,3843.41,,AUS_2014_4,US Dollar,58345340.0,
181,Australia,CRUSTACEANS,2015,Tonnes,5361.41,,AUS_2015_4,US Dollar,66073025.0,
182,Australia,CRUSTACEANS,2016,Tonnes,4712.728,,AUS_2016_4,US Dollar,65952257.0,
183,Australia,CRUSTACEANS,2017,Tonnes,4773.736,,AUS_2017_4,US Dollar,69013234.0,
184,Australia,CRUSTACEANS,2018,Tonnes,4305.689,,AUS_2018_4,US Dollar,61878651.0,
185,Australia,CRUSTACEANS,2019,Tonnes,4867.413,,AUS_2019_4,US Dollar,59796468.0,
186,Australia,CRUSTACEANS,2020,Tonnes,6815.48,,AUS_2020_4,US Dollar,94175044.0,
187,Australia,CRUSTACEANS,2021,Tonnes,6790.6,Estimated value,AUS_2021_4,US Dollar,102364871.0,Estimated value
188,Australia,FRESHWATER CRUSTACEANS,2012,Tonnes,144.32,,AUS_2012_41,US Dollar,3382888.0,
189,Australia,FRESHWATER CRUSTACEANS,2013,Tonnes,140.89,,AUS_2013_41,US Dollar,3238763.0,
